index,Unnamed: 0,Unnamed: 1,files,labels,true_labels,pred_labels,label_diffs,ra,dec
0,PCC_Bg,3848,sdss_ra=49.8038_dec=41.5811-label=0.png,0,0,0,0,49.8038,41.5811
1,PCC_Bg,2340,sdss_ra=49.6184_dec=41.4546-label=0.png,0,0,0,0,49.6184,41.4546
2,PCC_Bg,5416,sdss_ra=50.0028_dec=41.3384-label=0.png,0,0,0,0,50.0028,41.3384
3,PCC_Bg,5239,sdss_ra=49.9814_dec=41.4202-label=0.png,0,0,0,0,49.9814,41.4202
4,PCC_Bg,524,sdss_ra=49.3342_dec=41.33-label=0.png,0,0,0,0,49.3342,41.33
5,PCC_Bg,825,sdss_ra=49.3878_dec=41.5814-label=0.png,0,0,0,0,49.3878,41.5814
6,PCC_Bg,5270,sdss_ra=49.985_dec=41.3319-label=0.png,0,0,0,0,49.985,41.3319
7,PCC_Bg,708,sdss_ra=49.3665_dec=41.2861-label=0.png,0,0,0,0,49.3665,41.2861
8,PCC_Bg,2282,sdss_ra=49.6116_dec=41.197-label=0.png,0,0,0,0,49.6116,41.197
9,PCC_Bg,2440,sdss_ra=49.6283_dec=41.2297-label=0.png,0,0,0,0,49.6283,41.2297
10,PCC_Bg,625,sdss_ra=49.3508_dec=41.3929-label=0.png,0,0,0,0,49.3508,41.3929
11,PCC_Bg,25,sdss_ra=49.2466_dec=41.4451-label=0.png,0,0,0,0,49.2466,41.4451
12,PCC_Bg,3108,sdss_ra=49.7118_dec=41.7236-label=0.png,0,0,0,0,49.7118,41.7236
13,PCC_Bg,618,sdss_ra=49.3497_dec=41.2962-label=0.png,0,0,0,0,49.3497,41.2962
14,PCC_Bg,451,sdss_ra=49.322_dec=41.4892-label=0.png,0,0,0,0,49.322,41.4892
15,PCC_Bg,3604,sdss_ra=49.7705_dec=41.3615-label=0.png,0,0,0,0,49.7705,41.3615
16,PCC_Bg,1529,sdss_ra=49.5006_dec=41.3793-label=0.png,0,0,0,0,49.5006,41.3793
17,PCC_Bg,4259,sdss_ra=49.8546_dec=41.2312-label=0.png,0,0,0,0,49.8546,41.2312
18,PCC_Bg,1895,sdss_ra=49.5591_dec=41.5027-label=0.png,0,0,0,0,49.5591,41.5027
19,PCC_Bg,1387,sdss_ra=49.4784_dec=41.2846-label=0.png,0,0,0,0,49.4784,41.2846
